batter,impact
DA Warner,59.004529615839154
S Dhawan,56.446778985582604
CH Gayle,47.93361547485332
F du Plessis,46.39360093281777
G Gambhir,46.196959320003764
V Kohli,43.53886077397382
SK Raina,41.02926776933068
JC Buttler,37.10267543082608
V Sehwag,35.465270445918776
RV Uthappa,34.011524844333806
Shubman Gill,30.714644944722284
BB McCullum,30.58374831957418
SR Watson,28.548306585943763
SV Samson,28.37687574358522
Q de Kock,28.35378168399194
DR Smith,28.05750026938739
PA Patel,25.8487599015174
AM Rahane,25.447651467421824
RD Gaikwad,24.06682605102677
AC Gilchrist,23.598109476106114
M Vijay,23.48459534118251
PP Shaw,22.915763188436742
YBK Jaiswal,22.764713330292732
KL Rahul,20.675925722122606
Ishan Kishan,20.38247105597692
RG Sharma,19.604077884175332
SS Iyer,18.82801922159924
SE Marsh,18.75472684836705
MA Agarwal,18.389868980881765
N Rana,18.328598540763046
GJ Maxwell,17.545475873467076
MEK Hussey,16.830134925203904
SR Tendulkar,16.31655744575319
RA Tripathi,15.83191786848726
SA Yadav,15.800634374686636
LMP Simmons,14.612273462032563
AB de Villiers,13.990182716398165
D Padikkal,13.762549021820245
PD Salt,13.704485740705252
AJ Finch,12.742893897873333
LS Livingstone,12.563184608449951
ML Hayden,12.468233164320397
JM Bairstow,12.331035523999581
M Vohra,11.963072719412146
RR Pant,11.758830633159036
E Lewis,11.53987352101962
CA Lynn,11.387135850976593
AK Markram,10.678169358855373
Abhishek Sharma,10.632751044248831
ST Jayasuriya,10.56783710288952
KK Nair,10.165105414220628
P Simran Singh,10.069130922256994
VR Iyer,9.217820774313195
KC Sangakkara,9.179591915313578
TM Head,9.085110564378702
MS Bisla,8.33418315551033
WP Saha,8.286022739276948
SP Narine,8.204655706324717
B Sai Sudharsan,8.18428406398109
MR Marsh,8.02012693931568
BA Stokes,7.944960943955287
KR Mayers,7.830122201850251
V Suryavanshi,7.698701054937796
DP Conway,7.684894591691987
Priyansh Arya,7.664851504674142
RM Patidar,7.531447691948709
JJ Roy,7.093275320111393
J Fraser-McGurk,6.677054450334468
SM Katich,6.563660336165997
S Sohal,6.373487092761446
SC Ganguly,6.097760098837538
WG Jacks,6.077499807282202
D Brevis,5.418291563521503
PC Valthaty,5.349125483633579
Nithish Kumar Reddy,5.174763399803398
GC Smith,5.020755721024165
A Raghuvanshi,4.749171572258613
R Dravid,4.656891561915829
JH Kallis,4.520304489076143
M Morkel,4.451940838527199
PBB Rajapaksa,4.31281163618285
Rahmanullah Gurbaz,4.2503107371005004
RD Rickelton,4.194828982769855
SA Asnodkar,3.696852249631582
R Ravindra,3.6029294892348083
JD Ryder,3.5369844070807797
A Mhatre,3.5019015284924806
MJ Guptill,3.381586931316576
KP Pietersen,3.3304810977709596
LRPL Taylor,3.305474652668713
MJ Lumb,3.2454441092325443
HH Gibbs,3.2139451145566778
SS Prabhudessai,3.0422456207117463
Naman Dhir,3.002548272418119
Atharva Taide,3.0016133424998337
H Klaasen,2.999131808842909
Abishek Porel,2.7986780698805687
MD Mishra,2.73186014194626
SD Hope,2.567205253186752
CA Pujara,2.548672316719566
VVS Laxman,2.54160621142346
Salman Butt,2.267797011497506
Mandeep Singh,2.252151927421622
RJ Peterson,2.167999612528037
AD Hales,2.1011953825263703
Tilak Varma,2.0970513923644902
PN Mankad,2.0860272797142443
MS Wade,2.0743541408365727
S Vidyut,1.9369389487658928
N Wadhera,1.8635825650682631
Anmolpreet Singh,1.8332623543007542
MW Short,1.7877335732240873
Pankaj Singh,1.6941843067268885
PHKD Mendis,1.6049777243819572
Prince Yadav,1.5872192137688899
KT Maphaka,1.4590628827406467
SP Fleming,1.4152098786520653
W Jaffer,1.3800138815277876
L Wood,1.373345618905808
JP Inglis,1.277914256731814
DJM Short,1.2681571970933092
AN Ahmed,1.244328320078899
M Klinger,1.223153424087953
RE Levi,1.203287884194734
Arjun Tendulkar,1.1941640516395227
A Chopra,1.1609615290440225
KS Bharat,1.0653624623312903
Lalit Yadav,1.0301862151707408
RK Singh,1.0229098575137656
DJ Jacobs,0.9900467202126753
Vivrant Sharma,0.9498755643275556
OF Smith,0.9252947785011504
Urvil Patel,0.9113963912149631
JG Bethell,0.8588956156522328
JJ van der Wath,0.8240749141549033
Fazalhaq Farooqi,0.822063580386065
SK Rasheed,0.752942800388318
DPMD Jayawardene,0.7465379014220488
J Arunkumar,0.7402884940704303
Vijaykumar Vyshak,0.6780055953353169
AP Dole,0.6764862974316479
Shoaib Malik,0.6617322610847578
Karanveer Singh,0.6482697775264213
VS Yeligati,0.6467051423973229
RP Meredith,0.6191787683578804
PA Reddy,0.6191086119354293
CRD Fernando,0.613425466098376
JA Richardson,0.5946882256102742
DNT Zoysa,0.5831467798070696
Parvez Rasool,0.5655326448533482
DS Rathi,0.5524156413799297
K Upadhyay,0.5523822567615618
KR Sen,0.5478590901311601
UBT Chand,0.5309435893384256
SE Rutherford,0.5240683946012298
C Green,0.5087927028112479
Azhar Mahmood,0.4623501117076236
MA Wood,0.44522508080384937
S Tyagi,0.43359818066713285
V Nigam,0.42778008495515596
DJ Malan,0.41639516740996585
GB Hogg,0.411990068349871
BJ Haddin,0.39927365009682614
J Overton,0.39053151062167923
MP Breetzke,0.36374975468875315
Abdul Basith,0.35783314823140866
N Pooran,0.3513294410509258
AC Blizzard,0.30870683821292605
ER Dwivedi,0.30428383481432897
C Madan,0.30293820244561487
AL Menaria,0.27870219230894666
Sediqullah Atal,0.2778415902301044
VS Malik,0.266988108852201
BKG Mendis,0.26547561789749585
IC Pandey,0.261407356198499
C Munro,0.2419220132423723
SZ Mulani,0.236490227009594
RS Sodhi,0.23631486061112295
KMDN Kulasekara,0.2340423381123754
MDKJ Perera,0.224454332578085
Kamran Akmal,0.21532234230763792
DJ Mitchell,0.20170683622291583
DJ Harris,0.19862482762836747
U Kaul,0.19237351417483456
R Powell,0.19179062933031465
SB Wagh,0.1887509165212031
S Chanderpaul,0.1804243919280022
Mujeeb Ur Rahman,0.17725232256970908
DS Lehmann,0.17092220257984647
VH Zol,0.16956970770775726
HM Amla,0.16566228952878553
KS Sharma,0.1529420261051797
DR Martyn,0.1325622983750998
PM Sarvesh Kumar,0.1273176945550868
Mohammad Ashraful,0.12637819009048634
DJ Thornely,0.12048689714374605
OC McCoy,0.10678629974930409
PWA Mulder,0.10197511057261999
R Ninan,0.0875732433577486
Sameer Rizvi,0.08751894336035493
IS Sodhi,0.07940183628649
RT Ponting,0.07742686250292419
KA Maharaj,0.07555982847380349
CK Langeveldt,0.07479767238282256
MJ Owen,0.06932061495364861
R Sai Kishore,0.06779510204822486
GR Napier,0.06499422590759729
DP Vijaykumar,0.0636588472775434
Liton Das,0.06194811080853613
A Mukund,0.06071930997376973
T Shamsi,0.05836512535954702
CJ McKay,0.04913203986143666
Mohit Rathee,0.040655541557274244
JE Taylor,0.0316784372188922
MJ Suthar,0.02707015630517262
SA Abbott,0.02572765543065189
MN Samuels,0.02492590681003204
R Bishnoi,0.024688805023563673
Shoaib Akhtar,0.02446841359755303
Saurav Chauhan,0.021686538133858985
M de Lange,0.011463641376987077
J Syed Mohammad,0.010115444146878674
P Ray Barman,0.009922031558835535
AA Noffke,0.006398637166976993
JL Denly,0.0
S Kaushik,-0.0005774573205109493
Yashpal Singh,-0.000937935663099812
NJ Maddinson,-0.0018855276541240862
Sunny Gupta,-0.0032048377562902686
Y Prithvi Raj,-0.0042222859834557536
L Ablish,-0.004231557311739857
M Ashwin,-0.006310404697903449
DT Patil,-0.008492316891968218
V Viyaskanth,-0.008995612444912426
Musheer Khan,-0.014298396331785868
